employer_id,vacancy_id,evidence_url,support_team_size_min,support_evidence,evidence_type,mentions_24_7,shift_work
3197321,128700744,https://hh.ru/vacancy/128700744,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
3257770,128007045,https://hh.ru/vacancy/128007045,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3278233,127356504,https://hh.ru/vacancy/127356504,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
32969,128566186,https://hh.ru/vacancy/128566186,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
3491569,126795206,https://hh.ru/vacancy/126795206,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3509758,127731618,https://hh.ru/vacancy/127731618,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3583164,128494730,https://hh.ru/vacancy/128494730,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3596422,128639336,https://hh.ru/vacancy/128639336,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
373146,80940770,https://hh.ru/vacancy/80940770,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3772370,128705891,https://hh.ru/vacancy/128705891,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3774764,128002964,https://hh.ru/vacancy/128002964,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3776,127761431,https://hh.ru/vacancy/127761431,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3789323,127913595,https://hh.ru/vacancy/127913595,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3840611,128682134,https://hh.ru/vacancy/128682134,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3865808,128790404,https://hh.ru/vacancy/128790404,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
3904792,128752827,https://hh.ru/vacancy/128752827,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4137632,128439925,https://hh.ru/vacancy/128439925,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4159691,127948831,https://hh.ru/vacancy/127948831,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
4381172,128370014,https://hh.ru/vacancy/128370014,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
4426410,128138817,https://hh.ru/vacancy/128138817,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
